"Code","Full Title","Owning Faculty","Subject","Qual Type","Level","UCO Status","Points","Accreditation","UCO Webpage Status","Programme Coordinator","Launch","Active?","CMS","First Cohort Completion","Marketing Priority","CUAPRound","CUAPRound: Due Date","Compulsory Courses","Approval Status","Dom - Full Prog_2026","Int -  Full Prog_2026"
"MCEP","Master of Clinical Exercise Physiology","Health",,"Programme","Postgraduate","Scoping","180","Accredited","Need brief","Jessica Allan","2026S2","False","https://curriculum.canterbury.ac.nz/cms/design/program/10453/view",,"0",,,"[]","[""CUAP approved"",""TEC approved""]",,
"SCOL201 - 203","Wellbeing Series","Science",,"Credited Short Course","Postgraduate","Scoping","15","Needs update","Gathering leads",,"2022C4","True",,,"0",,,"[]","[""Fully approved""]",,
"EMGT613","Risk Communication and Reporting (#3/3)","Engineering",,"Credited Short Course","Postgraduate","Scoping","5","Accredited","Gathering leads",,"2026C2","False","https://curriculum.canterbury.ac.nz/cms/design/course/10150/view",,"0",,,"[]","[""Has academic approval""]",,
"MPM: Agile","Endorsement: Agile Project Management","Engineering",,"Programme","Postgraduate","Scoping","180","Pending","Need brief","Lulu Barry","2026C3","False",,"2027C3","0",,,"[]","[""Needs academic approval""]",,
"MSW (APP)/BSW(Hons)","Master of Social Work (Applied)","Health","/sites/w-TuihonoUC/SitePages/MSW.aspx","Programme","Postgraduate","Scoping","240","Needs update","Need brief","Raewyn Tudor","2026S2","False","https://curriculum.canterbury.ac.nz/cms/design/program/391/view",,"1",,,"[]","[""Fully approved""]",,
"PGCertTIC","PGCert/Dip in Trauma Informed Care","Health","/sites/w-tuihonouc/sitepages/TraumaInformedCare.aspx","Programme","Postgraduate","Scoping","120","Pending","Need brief",,"2026C4","False","https://curriculum.canterbury.ac.nz/cms/proposals/15374/view",,"1",,,"[]","[""Needs academic approval""]",,
"MSofEng","Master of Software Engineering","Engineering",,"Programme","Postgraduate","Exploration","180","Pending","Need brief","Tanja Mitrovic",,"False",,,"0",,,"[]","[""Needs academic approval""]",,
"MCySec","Master of Cyber Security","Engineering","/sites/w-TuihonoUC/SitePages/CySec.aspx","Programme","Postgraduate","Exploration","180",,"Need brief",,,"False",,,"0",,,"[]","[""Needs faculty approval""]",,
"CUP","Certificate of University Preparation",,,"Programme","N/A","Exploration",,,"Need brief",,,"False",,,"0",,,"[]",,,
"E2403","AI for Educators Course #3","Education",,"Non-Credited Course","N/A","Exploration","0","Pending","Need brief",,,"False",,,"0",,,"[]",,,
"BSLA406","Accelerating Students' Literacy Learning (Years 7-10)","Education",,"Credited Short Course","N/A","Exploration","30","Pending","Requirements changed",,,"False","https://curriculum.canterbury.ac.nz/cms/design/course/16241/view",,"0",,,"[]",,,
"PGCertTESOL","Postgraduate Certificate of Teaching English to Speakers of Other Languages","Education","/sites/w-TuihonoUC/SitePages/TESOL.aspx","Programme","Postgraduate","Building","60","Accredited","Need brief",,"2026C1","False","https://curriculum.canterbury.ac.nz/cms/design/program/440/view",,"1",,,"[]","[""Fully approved""]",,
"MEM (Intl)","MEM Intl Flipped Classroom","Engineering","/sites/w-TuihonoUC/SitePages/Engineering-Management.aspx","Programme","Postgraduate","Building","180","Not required","Requirements changed","Iram Mushtaq","2026C1","False",,,"0",,,"[]",,,
"MMktg","Master of Marketing (Online)","Business",,"Programme","Postgraduate","Building","180","Accredited","Gathering leads","Sussie Morrish","2026C1","False",,,"2",,,"[]","[""Fully approved""]",,
"PGCertAAI","Postgraduate Certificate in Applied AI","Engineering","/sites/w-TuihonoUC/SitePages/AppliedAI.aspx","Programme","Postgraduate","Exploration","60","Pending","Need brief",,,"False","https://curriculum.canterbury.ac.nz/cms/design/program/16211/view","2027C2","0",,,"[]",,,
"PGDipAAI","Postgraduate Diploma in Applied AI","Engineering","/sites/w-TuihonoUC/SitePages/AppliedAI.aspx","Programme","Postgraduate","Scoping","120","Pending","Need brief",,,"False","https://curriculum.canterbury.ac.nz/cms/design/program/16210/view","2027C4","0",,,"[]",,,
"PSYC191 & PSYC192 - online equivalents of PSYC105/6","Special Topic: Introduction to Psychology I & II","Science",,"Programme","Undergraduate","Building","15","Pending","Need brief",,"2026C2","True","https://curriculum.canterbury.ac.nz/cms/design/course/16830/view?closeTab=true","2026C2","0",,,"[]","[""Needs faculty approval""]",,
"SCOL201, SCOL202, SCOL203","Updates to Wellbeing courses","Science",,"Credited Short Course","Undergraduate","Scoping","5","Accredited","Need brief",,,"False",,,"0",,,"[]",,,
"AI for Business Leaders","Corporate - PWC AI for Business Leaders","Business",,"Non-Credited Course","N/A","Exploration","0","Not required","Need brief",,"2026C2","False",,,"0",,,"[]",,,
"AirNZ LD","Air New Zealand Learning Design Course",,,"Non-Credited Course","N/A","Exploration","0","Not required","Need brief",,"2026C2","False",,,"0",,,"[]",,,
"MBM","Master of Business Management","Business",,"Programme","Postgraduate","Exploration","180","Pending","Need brief",,,"False","https://curriculum.canterbury.ac.nz/cms/design/program/10861/view",,"0",,,"[]",,,
"EdXBSUR","Bayesian Statistics Using R
",,,"EdX","N/A","Delivering/BAU",,,"Need brief",,,"True",,,"0",,,"[]",,,
"EdXSAR","Statistical Analysis in R",,,"EdX","N/A","Delivering/BAU",,,"Need brief",,,"True",,,"0",,,"[]",,,
"EdXOrgPsyc","Organizational Psychology
",,,"EdX","N/A","Delivering/BAU",,,"Need brief",,,"True",,,"0",,,"[]",,,
"EdXHRI","Human-Robot Interaction",,,"EdX","N/A","Delivering/BAU",,,"Need brief",,,"True",,,"0",,,"[]",,,
"MStratCom","Master of Strategic Communication","Arts","/sites/w-TuihonoUC/SitePages/Strategic-Communication.aspx","Programme","Postgraduate","Delivering/BAU","180","Accredited","Gathering leads","Samara Anarbaeva","2025C4","True","https://curriculum.canterbury.ac.nz/cms/design/program/389/view","2027C4","0",,,"[]","[""Fully approved""]","$13,788.00","$57,300.00"
"EdXFVH","Field Volcanology and Hazards",,,"EdX","N/A","Delivering/BAU",,,"Need brief",,,"True",,,"0",,,"[]",,,
"MSpC&CD","Master of Sport Coaching and Coach Development","Health",,"Programme","Postgraduate","Exploration","180",,"Need brief",,,"False","https://curriculum.canterbury.ac.nz/cms/proposals/11044/view",,"0",,,"[]",,,
"EdXTAP","Text Analytics with Python",,,"EdX","N/A","Delivering/BAU",,,"Need brief",,,"False",,,"0",,,"[]",,,
"SCOL101","GIS for Mapping","Science",,"Credited Short Course","Undergraduate","Delivering/BAU","5","Needs update","Gathering leads",,,"True","https://curriculum.canterbury.ac.nz/cms/design/course/8304/view",,"0",,,"[]",,,
"B2507","AI for Digital Marketers","Business",,"Non-Credited Course","N/A","Building","0","Not required","Gathering leads",,"2026C1A","False",,,,,,"[]",,,
"B2509","Social Media Marketing Essentials","Business",,"Non-Credited Course","N/A","Building","0","Not required","Need brief",,"2026C1A","False",,,"3",,,"[]",,,
"B2508","SEO Essentials","Business",,"Non-Credited Course","N/A","Building","0","Not required","Need brief",,"2026C1A","False",,,"3",,,"[]",,,
"CertHlth","Certificate of Health","Health","/sites/w-TuihonoUC/SitePages/Hlth.aspx","Programme","Undergraduate","Building","60","Accredited",,,"2026C1","False",,,"0",,,"[]","[""Fully approved""]",,
"DipHlth","Diploma of Health","Health","/sites/w-TuihonoUC/SitePages/Hlth.aspx","Programme","Undergraduate","Building","120","Accredited",,,"2026C1","False",,,"0",,,"[]","[""Fully approved""]",,
"MCouns","Master of Counselling","Health","/sites/w-TuihonoUC/SitePages/Counselling-Studies.aspx","Programme","Postgraduate","Exploration","240","Accredited","Need brief","Shanee Barraclough",,"False","https://curriculum.canterbury.ac.nz/cms/design/program/16549/view",,"1",,,"[]","[""Fully approved""]",,
