"UC Code","Faculty","Course Type","Course Status","Course Title","Points","Level","Accreditation","Course Coordinator","FLD Code","Programme(s)","CMS Entry","Course Outline","Elective","First Run","Dom Fees - 2026","Int Fees - 2026","SAC Funding"
"TBC","Education","Degree Course","Not started","Master of AI in Education course - Course 4","15",,,,"TBC","MAIEd",,,"[]","2027C2",,,"False"
"TBC","Education","Degree Course","Not started","Master of AI in Education course - Course 5","15",,,,"TBC","MAIEd",,,"[]","2027C3",,,"False"
"TBC","Education","Degree Course","Not started","Master of AI in Education course - Course 6","15",,,,"TBC","MAIEd",,,"[]","2027C4",,,"False"
"TBC",,"Degree Course",,"Master of Technology Mgmt - Course 1","15",,,,"TBC","METM",,,"[]",,,,"False"
"TBC",,"Degree Course",,"Master of Technology Mgmt - Course 2","15",,,,"TBC","METM",,,"[]","2027C1",,,"False"
"TBC",,"Degree Course",,"Master of Technology Mgmt - Course 3","15",,,,"TBC","METM",,,"[]","2027C2",,,"False"
"TBC",,"Degree Course",,"Master of Technology Mgmt - Course 4","15",,,,"TBC","METM",,,"[]","2027C3",,,"False"
"TBC",,"Degree Course",,"Master of Technology Mgmt - Course 5","15",,,,"TBC","METM",,,"[]","2027C4",,,"False"
"MBAS601","Business","Degree Course","Not started","Financial Literacy and Strategic Decision Making","15","8","Pending",,"TBC","MBAS: (MBA Specialisations)","https://curriculum.canterbury.ac.nz/cms/design/course/15375",,"[]","2026C3",,,"False"
"MBAS602","Business","Degree Course","Not started","Consumer Insight, Marketing and Business Intelligence","15","8","Pending",,"TBC","MBAS: (MBA Specialisations)","https://curriculum.canterbury.ac.nz/cms/design/course/15376/",,"[]","2026C4",,,"False"
"MBAS604","Business","Degree Course","Not started","Strategy, Innovation and Operational Agility","15","8","Pending",,"TBC","MBAS: (MBA Specialisations)","https://curriculum.canterbury.ac.nz/cms/design/course/15378/",,"[]","2027C1",,,"False"
"MBAS605","Business","Degree Course","Not started","Economics, Law and Public Policy in Practice","15","8","Pending",,"TBC","MBAS: (MBA Specialisations)","https://curriculum.canterbury.ac.nz/cms/design/course/15379/",,"[]","2027C2","$395.00","$821.00","False"
"MBAS606","Business","Degree Course","Not started","Leading Self and Empowering Others","15","8","Pending",,"TBC","MBAS: (MBA Specialisations)","https://curriculum.canterbury.ac.nz/cms/design/course/15380/",,"[]","2027C3",,,"False"
"MBAS607","Business","Degree Course","Not started","Business Agility and Sustainability","10","9","Pending",,"TBC","MBAS: (MBA Specialisations)","https://curriculum.canterbury.ac.nz/cms/design/course/15506",,"[]","2027C4",,,"False"
"HLTH430","Health","Degree Course","Not started","Motivating Behaviour Change","30",,,,"H2515","MBAS: (MBA Specialisations)",,,"PGDipCEP","2026S2",,,"False"
,,"Degree Course","Not started","PG Cert in Gaming course - Course 1","15",,,,"TBC","[]",,,"[]","2026C3",,,"False"
,,"Degree Course","Not started","PG Cert in Gaming course - Course 2","15",,,,"TBC","[]",,,"[]","2026C4",,,"False"
"PMGT608","Engineering","Degree Course","Not started","Practical Inquiry","15","8","Accredited",,"TBC","MPM","https://curriculum.canterbury.ac.nz/cms/design/course/10011/view",,"[]","2027C3",,,"False"
"TBC",,"Degree Course","Not started","Psychology Assistant course - Course 1","15",,,,"TBC","PGDipPsychAssist",,,"[]","2026C3",,,"False"
"TBC",,"Degree Course","Not started","Psychology Assistant course - Course 2","15",,,,"TBC","[]",,,"[]","2026C3",,,"False"
"CRJU611","Law","Degree Course","Design & build","Qualitative Research Methods","15","9","Pending",,"TBC","PGCertCJ","https://curriculum.canterbury.ac.nz/cms/design/course/9904/view",,"[]","2026C4",,,"False"
"PMGT609","Engineering","Degree Course","Not started","Research Methods","15","9","Accredited",,"TBC","MPM","https://curriculum.canterbury.ac.nz/cms/design/course/10018/view",,"[]","2027C3",,,"False"
"ENCI601","Engineering","Distance","Inactive","Risk Management for Engineering","5","9",,,"TBC","[]","https://curriculum.canterbury.ac.nz/cms/design/course/3771/view",,"[]",,,,"False"
"SCIE101","Science","Distance","Inactive","Science, Society and Me",,,,,"TBC","[]",,,"[]",,,,"False"
"ENFE608","Engineering","Credited Short Course","Inactive","Structural Fire Design","5","8","Pending",,"TBC","[]","https://curriculum.canterbury.ac.nz/cms/design/course/10017/view",,"[]","2026C2",,,"False"
"PMGT679 and 680","Engineering","Degree Course","Not started","Work-based OR Research Project",,,,,"TBC","MPM",,,"[]","2027C4",,,"False"
"Short course","Professional Development","Non-Credited Course","On hold","Systems Thinking","0",,,,"TBC","[]",,,"[]","2026C2",,,"False"
"MBIS623","Business","Degree Course","Live","Data Management","15","8","Accredited","Richard Derham","G2304","MADS,PGDipADS","https://curriculum.canterbury.ac.nz/cms/design/course/6772/view",,"[]","2024C4","$1,198.00","$4,738.00","False"
